Bisch,Quelle_Inst,function,activity,Zeitraum,Institution,spezifische Institution,SOFISwiki_Inst/Projekt,SOFISwiki_instID/Projekt-ID
"Jann, Ben",Universität Bern,„vonRoll Jour fix“ representative,Academic self-administration,2011/11 –2013/02,Universität Bern,Department of Social Sciences,Department Sozialwissenschaften Institut für Soziologie (Bern),8563
"Jann, Ben",Universität Bern,President of the search committee for the Professorship in Social Sciences,Academic self-administration,2012/04 –2012/12,Universität Bern,Domain: Sustainable Social Development,Department Sozialwissenschaften Institut für Soziologie (Bern),8563
"Jann, Ben",Universität Bern,Managing director,Academic self-administration,2012/08–2014/07,Universität Bern,Institute of Sociology,Department Sozialwissenschaften Institut für Soziologie (Bern),8563
"Jann, Ben",Universität Bern,Vice managing director,Academic self-administration,2011/06–2014/07,Universität Bern,Department of Social Sciences,Department Sozialwissenschaften Institut für Soziologie (Bern),8563
"Jann, Ben",Universität Bern,Managing director,Academic self-administration,2014/08–2016/07,Universität Bern,Department of Social Sciences,Department Sozialwissenschaften Institut für Soziologie (Bern),8563
"Jann, Ben",Universität Bern,"Representative of the Faculty of Business, Economics and Social Sciences in the task group “Bologna II”",Academic self-administration,2011/02-,Universität Bern,"Faculty of Business, Economics and Social Sciences",Department Sozialwissenschaften Institut für Soziologie (Bern),8563
"Jann, Ben",Universität Bern,"Representative of the Faculty of Business, Economics and Social Sciences in the committee for the Theodor-Kocher-Prize",Academic self-administration,2011/10-,Universität Bern,"Faculty of Business, Economics and Social Sciences",Department Sozialwissenschaften Institut für Soziologie (Bern),8563
"Jann, Ben",Universität Bern,Vice president of the section on “Modellbildung und Simulation”,Committees,10/2000/10–2010/09,German Sociological Association,n,Deutsche Gesellschaft für Soziologie,9611
"Jann, Ben",Universität Bern,President of the section on “Modellbildung und Simulation”,Committees,2010/10–2014/09,German Sociological Association,n,Deutsche Gesellschaft für Soziologie,9611
"Jann, Ben",Universität Bern,Doktorand,"Degree: Doctor of Sciences
(Dr. sc. ETH Zurich)",2006/01 –2008/05,ETH Zürich,n,ETH Zürich,3354
"Jann, Ben",Universität Bern,Scientific assistant of Prof. Dr. Andreas Diekmann,Scientific assistant of Prof. Dr. Andreas Diekmann,2003/04– 2010/08,ETH Zürich,n,ETH Zürich,3354
"Jann, Ben",Universität Bern,Representative of mid-level faculty in the education committee (Unterrichtskommission),Academic self-administration,2006/04– 2010/08,ETH Zürich,"Department of Humanities, Social and Political Sciences",ETH Zürich,3354
"Jann, Ben",Universität Bern,Representative of mid-level faculty in the department meetings (Departementskonferenz),Academic self-administration,2007/04–2010/08,ETH Zürich,"Department of Humanities, Social and Political Sciences",ETH Zürich,3354
"Jann, Ben",Universität Bern,"Member of the expert panel „System der Haushalts- und Personenerhebungen“
(SHAPE)",Committees,2006/03–2008/12,Swiss Federal Statistical Office,n,n,n
"Jann, Ben",Universität Bern,Member of the editorial board of the The Stata Journal,Committees,2005/06,The Stata Journal,n,n,n
"Jann, Ben",Universität Bern,Member of the editorial committee of the Swiss Journal of Sociology,Committees,2007/09,Swiss Journal of Sociology,n,n,n
"Jann, Ben",Universität Bern,"Member of the scientific advisory board for the Master of Science in
Vocational Education and Training",Committees,2011/05,"Swiss Federal Institute for Vocational
Education and Training (SFIVET)",n,n,n
"Jann, Ben",Universität Bern,"Member of the editorial board of Survey Methods: Insights from the
Field",Committees,2012/05,"Methods: Insights from the
Field.",n,n,n
"Jann, Ben",Universität Bern,Member of the executive committee,Committees,2013/06,Swiss Sociological Association,n,n,n
"Jann, Ben",Universität Bern,Vice president,Committees,2013/12,Swiss Sociological Association,n,n,n
"Jann, Ben",Universität Bern,Member of the Board of Trustees,Committees,2016/02,"GESIS – Leibniz Institute for the
Social Sciences",n,n,n
"Jann, Ben",Universität Bern,President of the expert panel on social statistics,Committees,2017/01,"Swiss Federal
Statistical Offce",n,n,n
"Jann, Ben",Universität Bern,Discussant/Co-organizer of the symposium “Bildungsmonitoring 2” at the Annual Conferenceof the Swiss Society for Research in Education (SSRE) in Lausanne,Conference organization," June 29 to July 1,2016",Swiss Society for Research in Education (SSRE),n,n,n
"Jann, Ben",Universität Bern,Member of the International Board of Reviewers of the General Online Research Conference 2016 (GOR 16) in Dresden,Conference organization,"March 2–4, 2016",General Online Research ,International Board of Reviewers (?),n,n
"Jann, Ben",Universität Bern,Funded projects ,"Mandates/contract research: Member of the “Aufbaugruppe für das wissenschaftliche Konsortium zur Überprüfung des Erreichens der Grundkompetenzen (ÜGK)”, on behalf of the Swiss Conference of Cantonal Ministers of Education (EDK), CHF 90’000.",2015/06–2016/05,n,n,n,n
"Jann, Ben",Google Scholar,n,n,n,Universität Bern,"Soziologie, Methoden, Statistik",Universität Bern,3299
"Jann, Ben",Universität Bern,Studium ,"Soziologie, Wirtschaft, Allgemeine Ökologie",1993/ 10– 1998/09,Universität Bern,n,Universität Bern,3299
"Jann, Ben",Universität Bern,Doktorand,n,1998 /09– 2005/12,Universität Bern,n,Universität Bern,3299
"Jann, Ben",Universität Bern,Training course “Lehr- und Fachvorträge”,n,9/2012,Universität Bern,Centre for University Continuing Education,Universität Bern,3299
"Jann, Ben",Universität Bern,Training course “Grundlagen der Hochschuldidaktik,n,2013/08 – 2014/01,Universität Bern,Centre for University Continuing Education,Universität Bern,3299
"Jann, Ben",Universität Bern,"Assistant Professor (with tenure track) for Sociology, in particular for Social Stratification ","Assistant Professor (with tenure track) for Sociology, in particular for Social Stratification",2010/09– 2011/05,Universität Bern,n,Universität Bern,3299
"Jann, Ben",Universität Bern,"Associate Professor for Sociology, in particular for Social Stratification","Associate Professor for Sociology, in particular for Social Stratification",2011/06–2014/07,Universität Bern,n,Universität Bern,3299
"Jann, Ben",Universität Bern,"Professor for Sociology, in particular for Social Stratification","Professor for Sociology, in particular for Social Stratification",2014/08,Universität Bern,n,Universität Bern,3299
"Jann, Ben",Universität Bern,Vice president of the “Hauskommission vonRoll”,Academic self-administration,2013/12–2015/10,Universität Bern,“Hauskommission vonRoll”,Universität Bern,3299
"Jann, Ben",Universität Bern,Representative of the Department of Social Sciences in the the “Hauskommission vonRoll”,Academic self-administration,2013/11–2016/04,Universität Bern,“Hauskommission vonRoll”,Universität Bern,3299
"Jann, Ben",Universität Bern,Member of the board,Academic self-administration,2014/01,Universität Bern,Centre for Development and Environment (CDE),Universität Bern,3299
"Jann, Ben",Universität Bern,Interim Professor for Sociology and Methodology,Interim Professor for Sociology and Methodology,2010/04– 2010/07,Universität Leipzig,n,Universität Leipzig,12411
"Jann, Ben",Universität Bern,Offer of a W3 Professorship in Sociology and Methodology,abgelehnt,August 2010,Universität Leipzig,n,Universität Leipzig,12411
"Jann, Ben",Universität Bern,Offer of a W2 Professorship in Social Science Research Methods and Social Structure Analysis,abgelehnt,2010/06,Universität Osnabrueck,n,Universität Osnabrueck,30308
"Japec, Lilli",linkedin,Quality Director,,2008/01 - 2010/11,"Statistics Sweden, Stockholm",n,Statistics Sweden (Stockholm),727466
"Japec, Lilli",linkedin,Director R&D Department,,2010/11 - 2015/10,"Statistics Sweden, Stockholm",n,Statistics Sweden (Stockholm),727466
"Japec, Lilli",linkedin,"Scientific Advisor, Executive Office,",,? - 2017,"Statistics Sweden, Stockholm",n,Statistics Sweden (Stockholm),727466
"Japec, Lilli",Mathematics Genealogy Project,Education,Ph.D.(Fil dr) ,2005,Universität Stockholm,n,Stockholm University (Stockholm),12443
"Katsanidou, Alexia",http://www.gesis.org/en/institute/staff/?name=alexia%2Ckatsanidou,Leitung,n,seit 2015/04,GESIS,n,GESIS - Leibniz-Institut für Sozialwissenschaften Abt. Datenarchiv für Sozialwissenschaften (Köln),69254
"Katsanidou, Alexia",http://www.gesis.org/en/institute/staff/?name=alexia%2Ckatsanidou,MA in Vergleichende Demokratisierun,n,2003,n,n,n,n
"Katsanidou, Alexia",http://www.gesis.org/en/institute/staff/?name=alexia%2Ckatsanidou,Studium Internationale Politik und Wirtschaft,n,,"Universität Mazedonien, Griechenland",n,n,n
"Katsanidou, Alexia",http://www.gesis.org/en/institute/staff/?name=alexia%2Ckatsanidou,Promotion,Dr. in Politik,2008,Universität Essex,Government Department,Universität Essex Colchester,12141
"Kleinert, Corinna",https://www.uni-bamberg.de/fileadmin/kom/www/2015/Kleinert_CV_2015_03_16.pdf,Wissenschaftliche Mitarbeiterin,n,Seit 2003," Institut für Arbeitsmarkt- und Berufsforschung (IAB), Nürnberg",n," Institut für Arbeitsmarkt- und Berufsforschung (IAB), Nürnberg",1652
"Kleinert, Corinna",https://www.uni-bamberg.de/fileadmin/kom/www/2015/Kleinert_CV_2015_03_16.pdf,"Kommissarische Leitung des Forschungsbereichs Bildungs- und
Erwerbsverläufe",n,2007 –2008," Institut für Arbeitsmarkt- und Berufsforschung (IAB), Nürnberg",n," Institut für Arbeitsmarkt- und Berufsforschung (IAB), Nürnberg",1652
"Kleinert, Corinna",https://www.uni-bamberg.de/fileadmin/kom/www/2015/Kleinert_CV_2015_03_16.pdf,Wissenschaftliche Referentin in der Abteilung ‚Jugend und Politik,n,1995 – 2000,"Deutsches
Jugendinstitut (DJI), München",n,"Deutsches
Jugendinstitut (DJI), München",885
"Kleinert, Corinna",https://www.uni-bamberg.de/fileadmin/kom/www/2015/Kleinert_CV_2015_03_16.pdf,"Qualifizierung",Studium Kommunikationswissenschaften (M.A.),1995,Ludwigs-Maximilians-Universität München,n,Ludwig-Maximilians-Universität München,3339
"Kleinert, Corinna",https://www.uni-bamberg.de/fileadmin/kom/www/2015/Kleinert_CV_2015_03_16.pdf,"Qualifizierung",Promotion zum Dr. phil. im Fach Soziologie,2003,Ludwigs-Maximilians-Universität München,n,Ludwig-Maximilians-Universität München,3339
"Kleinert, Corinna",https://www.uni-bamberg.de/fileadmin/kom/www/2015/Kleinert_CV_2015_03_16.pdf,Doktorandin,n,2000 – 2002, Ludwigs-Maximilians-Universität München,n,Ludwig-Maximilians-Universität München,3339
"Kleinert, Corinna",https://www.uni-bamberg.de/fileadmin/kom/www/2015/Kleinert_CV_2015_03_16.pdf,Wissenschaftliche Mitarbeiterin,n,2002 – 2003,Ludwigs-Maximilians-Universität München," Institut für
Soziologie","Ludwig-Maximilians-Universität München, Institut für Soziologie",8978
"Kleinert, Corinna",https://www.uni-bamberg.de/fileadmin/kom/www/2015/Kleinert_CV_2015_03_16.pdf,"Wissenschaftliche und operative Leitung der Etappe 8 ‚Erwachsenenbildung
und Lebenslanges Lernen‘",n,2008– 2014 ,Nationales Bildungspanels (NEPS),n,n,n
"Kleinert, Corinna",https://www.uni-bamberg.de/fileadmin/kom/www/2015/Kleinert_CV_2015_03_16.pdf,"Professorin für Soziologie mit dem Schwerpunkt längsschnittliche
Bildungsforschung a",n,Seit 2015," LeibnizInstitut
für Bildungsverläufe e.V. (LIfBi)",n,n,n
"Kleinert, Corinna",https://www.uni-bamberg.de/fileadmin/kom/www/2015/Kleinert_CV_2015_03_16.pdf,"Professorin für Soziologie mit dem Schwerpunkt längsschnittliche
Bildungsforschung a",n,Seit 2015, Otto-Friedrich-Universität Bamberg,n,Otto-Friedrich-Universität Bamberg ,3295
"Kleinert, Corinna",https://www.uni-bamberg.de/fileadmin/kom/www/2015/Kleinert_CV_2015_03_16.pdf,Visiting Fellow,n,2010,"Yale University, New Haven, Connecticut, USA","
Center on Inequalities and the Life Course (CIQLE)",Yale University (New Haven),3552
"Kohler, Ulrich",WZB,Wissenschaftlicher Mitarbeiter,n,1996-2001,Universität Mannheim,Lehrstuhl für Methoden der empirischen Sozialforschung und angewandte Soziologie an der sozialwissenschaftlichen Fakultät der Universität Mannheim,Lehrstuhl für Methoden der empirischen Sozialforschung (Mannheim),7417
"Kohler, Ulrich",WZB,Promotion,Dr. phil.  ,2001/08,Universität Mannheim,Lehrstuhl für Methoden der empirischen Sozialforschung und angewandte Soziologie an der sozialwissenschaftlichen Fakultät der Universität Mannheim,Lehrstuhl für Methoden der empirischen Sozialforschung (Mannheim),7417
"Kohler, Ulrich",WZB,Wissenschaftlicher Assistent,n,2001-2003,Universität Mannheim,Lehrstuhl für Methoden der empirischen Sozialforschung und angewandte Soziologie an der sozialwissenschaftlichen Fakultät der Universität Mannheim,Lehrstuhl für Methoden der empirischen Sozialforschung (Mannheim),7417
"Kohler, Ulrich",Universität Potsdam,Professor,Methoden der empirischen Sozialforschung,2012/10-,Universität Potsdam,Professur für Methoden der empirischen Sozialforschung ,Professur für Methoden der empirischen Sozialforschung (Potsdam),15213
"Kohler, Ulrich",WZB,Studium ,"Soziologie, Geschichte, Rechtswissenschaften",1989-1992,Universität Konstanz ,,Universität Konstanz (Konstanz),3332
"Kohler, Ulrich",WZB,Studium,"Soziologie, Wirtschafts- und Sozialgeschichte/Neuere Geschichte, Öffentliches Recht",1992-1996,Universität Mannheim,,Universität Mannheim (Mannheim),3337
"Kohler, Ulrich",WZB,Studium,M.A. in Soziologie (Magister),1996/04,Universität Mannheim,,Universität Mannheim (Mannheim),3337
"Kohler, Ulrich",WZB,Wissenschaftlicher Mitarbeiter,n,2003-2012,WZB,"Wissenschaftszentrum Berlin für Sozialforschung gGmbH Schwerpunkt Bildung, Arbeit und Lebenschancen Abt. Ungleichheit und soziale Integration ","Wissenschaftszentrum Berlin für Sozialforschung gGmbH Schwerpunkt Bildung, Arbeit und Lebenschancen Abt. Ungleichheit und soziale Integration (Berlin)",26245
"Kohler, Ulrich",WZB,"Projektleitung ""Die wirtschaftlichen Folgen zentraler Lebensrisiken in Deutschland und den USA und ihre Entwicklung seit den achtziger Jahren""",n,2009/04-2012,WZB,"Wissenschaftszentrum Berlin für Sozialforschung gGmbH Schwerpunkt Bildung, Arbeit und Lebenschancen Abt. Ungleichheit und soziale Integration ","Wissenschaftszentrum Berlin für Sozialforschung gGmbH Schwerpunkt Bildung, Arbeit und Lebenschancen Abt. Ungleichheit und soziale Integration (Berlin)",26245
"Kohler, Ulrich",WZB,Geschäftsführender wissenschaftlicher Mitarbeiter,n,2011/10-2012/09,WZB,"Wissenschaftszentrum Berlin für Sozialforschung gGmbH Schwerpunkt Bildung, Arbeit und Lebenschancen Abt. Ungleichheit und soziale Integration ","Wissenschaftszentrum Berlin für Sozialforschung gGmbH Schwerpunkt Bildung, Arbeit und Lebenschancen Abt. Ungleichheit und soziale Integration (Berlin)",26245
"Kopp, Johannes",https://www.uni-trier.de/index.php?id=50114,Vertretungen ,n,2000-2004,Universität Konstanz,n, Universität Konstanz,3332
"Kopp, Johannes",https://www.uni-trier.de/index.php?id=50114,Professur für empirische Sozialforschung,n,2004-2013, TU Chemnitz, Institut für Soziologie,"Institut für Soziologie
Fak. für Human- und Sozialwissenschaften (Chemnitz)
Technische Universität Chemnitz (Chemnitz)",27565
"Kopp, Johannes",https://www.uni-trier.de/index.php?id=50114,Vertretungen ,n,2000-2004,LMU München,n,Ludwig-Maximilians-Universität München,3339
"Kopp, Johannes",https://www.uni-trier.de/index.php?id=50114,Vertretungen ,n,2000-2004,Universität Koblenz-Landau,n,Universität Koblenz-Landau Campus Koblenz,1045
"Kopp, Johannes",https://www.uni-trier.de/index.php?id=50114,wissenschaftlicher Mitarbeiter,n,1988-2000,Universität Köln,n,Universität Köln,3327
"Kopp, Johannes",https://www.uni-trier.de/index.php?id=50114,"Studium der Soziologie, Sozialpsychologie und Politikwissenschaft",n,1982-1988, Universität Mannheim,n,Universität Mannheim (Mannheim),3337
"Kopp, Johannes",https://www.uni-trier.de/index.php?id=50114,Promotion ,n,1993, Universität Mannheim,n,Universität Mannheim (Mannheim),3337
"Kopp, Johannes",https://www.uni-trier.de/index.php?id=50114,Habilitation ,n,1999, Universität Mannheim,n,Universität Mannheim (Mannheim),3337
"Kopp, Johannes",https://www.uni-trier.de/index.php?id=50114,wissenschaftlicher Mitarbeiter,n,1988-2000, Universität Mannheim,n,Universität Mannheim (Mannheim),3337
"Kopp, Johannes",https://www.uni-trier.de/index.php?id=50114,Professur für Soziologie,n,seit 2013/10, Universität Trier,n,Universität Trier,8741
"Korflesch, Harald F.O. von ",Universität Koblenz-Landau,Assistant Professor / Senior Lecturer / Project Manager,,1994-2003,Universität Kassel ,n,Universität Kassel (Kassel),1308
"Korflesch, Harald F.O. von ",Universität Koblenz-Landau,Education,Venia Legendi,2003,Universität Kassel ,n,Universität Kassel (Kassel),1308
"Korflesch, Harald F.O. von ",Universität Koblenz-Landau,Locum Professor for Information Management,,2003-2007,Universität Koblenz-Landau,n,Universität Koblenz-Landau Campus Koblenz (Koblenz),1045
"Korflesch, Harald F.O. von ",Universität Koblenz-Landau,"Professor for the Management of Information, Innovation, Entrepreneurship and Organization",,2007-,Universität Koblenz-Landau,n,Universität Koblenz-Landau Campus Koblenz (Koblenz),1045
"Korflesch, Harald F.O. von ",Universität Koblenz-Landau,Studium,,1987,Universität zu Köln,Wirtschafts- und Sozialwissenschaftliche Fakultät,Wirtschafts- und Sozialwissenschaftliche Fakultät (Köln),9329
"Korflesch, Harald F.O. von ",Universität Koblenz-Landau,Research Associate and Assistant to the Owner of the Chair in Administrative and Academic Affaires,,1988 - 1993,Universität zu Köln,Wirtschafts- und Sozialwissenschaftliche Fakultät,Wirtschafts- und Sozialwissenschaftliche Fakultät (Köln),9329
"Korflesch, Harald F.O. von ",Universität Koblenz-Landau,Education,Dr. rer. pol.,1993,Universität zu Köln,Wirtschafts- und Sozialwissenschaftliche Fakultät,Wirtschafts- und Sozialwissenschaftliche Fakultät (Köln),9329
"Korflesch, Harald F.O. von ",Universität Koblenz-Landau,Senior Researcher and Project Manager,,1998-2003,Universität zu Köln,Wirtschafts- und Sozialwissenschaftliche Fakultät,Wirtschafts- und Sozialwissenschaftliche Fakultät (Köln),9329
"Kreuter, Frauke",Universität Mannheim,Visiting Researcher,Other Professional Experience,2009,"GESIS, Mannheim, Germany",n,GESIS - Leibniz-Institut für Sozialwissenschaften (Mannheim),10581
"Kreuter, Frauke",Wikipedia,Universitätsprofessorin für Statistik,n,2010-2014,Ludwig-Maximilians-Universität München,n,Ludwig-Maximilians-Universität München,3339
"Kreuter, Frauke",Universität Mannheim,University Professor,Academic Experience,2010-2014," LudwigMaximilians-Universitaet
Muenchen",Department of Statistics,Ludwig-Maximilians-Universität München,3339
"Kreuter, Frauke",linkedin,Professor in Statistics,Erfahrung,Juli 2010 – Juni 2014 (4 Jahre),LMU - Ludwig-Maximilians-Universität München,n,Ludwig-Maximilians-Universität München,3339
"Kreuter, Frauke",Universität Mannheim,Research Assistant (Wissenschaftliche Mitarbeiterin),Academic Experience,1996-1997,Mannheim Center for European Social Research (MZES),n,Mannheim Center for European Social Research (MZES),10378
"Kreuter, Frauke",Universität Mannheim,Undergraduate Research Assistant,Academic Experience,1991-1993,Mannheim Center for European Social Research (MZES),n,Mannheimer Zentrum für Europäische Sozialforschung (MZES),10378
"Kreuter, Frauke",Wikipedia,Leiterin der Abteilung für Statistische Methoden,n,n,Institut für Arbeitsmarktforschung (IAB),n,n,n
"Kreuter, Frauke",Wikipedia,Leiterin der Abteilung für statistische Methoden,n,2014-,Institut für Arbeitsmarktforschung (IAB),n,n,n
"Kreuter, Frauke",Universität Mannheim,Research Fellow,Other Professional Experience,1994,King Monkuts’ Institute of Technology North Bangkok (KMITNB),n,n,n
"Kreuter, Frauke",Universität Mannheim,Research Fellow,Other Professional Experience,1994," Institute
for Technical Education Development (ITED), Bangkok Thailand",n,n,n
"Kreuter, Frauke",Universität Mannheim,Visiting Researcher,Other Professional Experience,2004,"Max Planck Institute for Human Development, Berlin, Germany",n,n,n
"Kreuter, Frauke",Universität Mannheim,Statistical Consultant,Other Professional Experience,2006-2007,"Millennium Challenge Cooperation, Washington D.C",n,n,n
"Kreuter, Frauke",Universität Mannheim,Statistical Consultant,Other Professional Experience,2006-2007,"Defense Manpower Data Center,
Washington D.C.;",n,n,n
"Kreuter, Frauke",Universität Mannheim,Visiting Researcher,Other Professional Experience,2008,"Institute for Employment Research (IAB), Nuernberg, Germany
",n,n,n
"Kreuter, Frauke",linkedin,Head of Statistical Methods Research Department,Erfahrung,Juli 2010 – Heute (6 Jahre 11 Monate),"Institute for Employment Research (IAB), Germany",n,n,n
"Kreuter, Frauke",Universität Mannheim,Promotion,Dr. rer. soc. (Ph.D.),1997-2001 ,Universität Konstanz,n,Universität Konstanz,3332
"Kreuter, Frauke",Universität Mannheim,Research Assistant (Wissenschaftliche Mitarbeiterin),Academic Experience,1997-2001,University of Konstanz,n,Universität Konstanz,3332
"Kreuter, Frauke",Universität Mannheim,‘Wissenschaftliche Assistentin’ (C1),Academic Experience,2001-2004 ,University of Konstanz,n,Universität Konstanz,3332
"Kreuter, Frauke",linkedin,Doctor of Philosophy (Ph.D.),Ausbildung,1997 – 2001,Universität Konstanz,n,Universität Konstanz,3332
"Kreuter, Frauke",Wikipedia,Professur ,n,n, Universität Mannheim ,n,Universität Mannheim (Mannheim),3337
"Kreuter, Frauke",Wikipedia,Studium,Diplom Soziologie,1996,Universität Mannheim,n,Universität Mannheim (Mannheim),3337
"Kreuter, Frauke",Universität Mannheim,Studium,"Dipl. Soz. (Bachelor & Masters in Sociology) (Major in Methods
for Empirical Social Science Research; Minor in Political Economics,
Social Psychology and Philosophy of Science)",1990-1996,Universität Mannheim,n,Universität Mannheim (Mannheim),3337
"Kreuter, Frauke",Universität Mannheim,Undergraduate Research Assistant ,Academic Experience,1993-1995 ,University of Mannheim,n,Universität Mannheim (Mannheim),3337
"Kreuter, Frauke",Universität Mannheim,Professor,Academic Experience,2014-present,"University of Mannheim, Germany",n,Universität Mannheim (Mannheim),3337
"Kreuter, Frauke",linkedin,Professor,Erfahrung,Juni 2014 – Heute (3 Jahre),University of Mannheim,n,Universität Mannheim (Mannheim),3337
"Kreuter, Frauke",Wikipedia,Postdoc-Forschung,Postdoc-Forschung,n," University of California, Los Angeles",n,University of California Los Angeles,3285
"Kreuter, Frauke",Wikipedia,Associate Professor   ,n,2010-2014," University of California, Los Angeles",n,University of California Los Angeles,3285
"Kreuter, Frauke",Wikipedia,Ordentlicher Professor,n,2014-,"University of California, Los Angeles",n,University of California Los Angeles,3285
"Kreuter, Frauke",Universität Mannheim,DAAD Postdoc Research Fellow,Academic Experience,2001-2002,"University of California, Los Angeles",Department of Statistics,University of California Los Angeles,3285
"Kreuter, Frauke",Universität Mannheim,Adjunct Assistant Professor,Academic Experience,2002-2004,"University of California, Los Angeles",Department of Statistics,University of California Los Angeles,3285
"Kreuter, Frauke",linkedin,Adj. Ass. Professor,Erfahrung,2001 – 2004 (3 Jahre),UCLA,n,University of California Los Angeles,3285
"Kreuter, Frauke",linkedin,Ass. Professor,Erfahrung,2004 – Juli 2010 (6 Jahre),University of Maryland,Joint Program in Survey Methodology,University of Maryland,3275
"Kreuter, Frauke",Universität Mannheim,Faculty Associate,Academic Experience,2005-present ,"University of Maryland, College Park",Maryland Population Research Center,"University of Maryland, College
Park",3275
"Kreuter, Frauke",Universität Mannheim,Assistant Professor,Academic Experience,2004-2010,"University of Maryland, College
Park",Joint Program in Survey Methodology,"University of Maryland, College
Park",3275
"Kreuter, Frauke",Universität Mannheim,Associate Professor ,Academic Experience,2010-2014 ,"University of Maryland, College Park",Joint Program in Survey Methodology,"University of Maryland, College
Park",3275
"Kreuter, Frauke",Universität Mannheim,Professor,Academic Experience,2014-present,"University of
Maryland, College Park",Joint Program in Survey Methodology,"University of Maryland, College
Park",3275
"Kreuter, Frauke",linkedin,Assoc. Prof. at the Joint Program in Survey Methodology,Erfahrung,2010 – Juli 2014 (4 Jahre),University of Maryland,n,"University of Maryland, College
Park",3275
"Kreuter, Frauke",linkedin,Professor at the Joint Program in Survey Methodology,Erfahrung,August 2014 – Heute (2 Jahre 10 Monate),University of Maryland,n,"University of Maryland, College
Park",3275
"Kreuter, Frauke",Universität Mannheim,German Science Foundation (DFG) Fellow,,1997, University of Michigan,"Ann Arbor ICPSR Summer Program in Quantitative Methods of Social
Research; SRC Summer Institute in Survey Research Techniques",University of Michigan (Ann Arbor),9913
"Kreuter, Frauke",Universität Mannheim,Adjunct Research Assistant Professor,Academic Experience,2013-present ," University of Michigan, Ann Arbor",Institute for Social Research,University of Michigan (Ann Arbor),9913
"Kreuter, Frauke",Universität Mannheim,Adjunct Research Assistant Professor,Academic Experience,2005-2013 ,"University of Michigan, Ann Arbor",Institute for Social Research,"University of Michigan, Ann Arbor",9913
"Kreuter, Frauke",Universität Mannheim,Visiting Researcher,Other Professional Experience,2003,"University of
Michigan, Ann Arbor","Survey Research Center, Institute for Social Research,","University of Michigan, Ann Arbor",9913
"Lerman, Kristina",USC University of Southern California,Systems Programmer,,1996/01 - 1998/05,"Quarterdeck Office Systems, Marina del Rey",n,n,n
"Lerman, Kristina",USC University of Southern California,Computer Scientist,,1998/06 - 2003/06,"USC Information Sciences Institute, Marina del Rey,",n,n,n
"Lerman, Kristina",USC University of Southern California,Project Leader,,2003/07 -,"USC Information Sciences Institute, Marina del Rey,",n,n,n
"Lerman, Kristina",USC University of Southern California,Assistant Research Professor,,2004/03 - ,University of Southern California,Computer Science Department,n,n
"Lerman, Kristina",USC University of Southern California,Education,A.B.,1989/06,Princeton University,Physics Department,Princeton University (Princeton),2624
"Lerman, Kristina",USC University of Southern California,Research Assistant,,1990/01 - 1995/08,University of California at Santa Barbara,Physics Department,University of California Santa Barbara (Santa Barbara),11502
"Lerman, Kristina",USC University of Southern California,Education ,Ph.D.,1995/12,University of California at Santa Barbara,Physics Department,University of California Santa Barbara (Santa Barbara),11502
"Mutschke, Peter",xing,Studium ,"M.A. Geschichte, Politikwissenschaft, Philosophie",1980-1987,Universität Göttingen,Georg-August-Universität Göttingen,Georg-August-Universität Göttingen (Göttingen),9292
"Mutschke, Peter",xing,Studium ,Gasthörer Informatik,1988-1989,Universität Göttingen,Georg-August-Universität Göttingen,Georg-August-Universität Göttingen (Göttingen),9292
"Mutschke, Peter",linkedin,Kommissarischer Leiter,Wissenstechnologien für Sozialwissenschaften,2010/03-,"GESIS Leibniz-Institut fur Sozialwissenschaften in Koln: Koln, Nordrhein-Westfalen, Germany",Abt. Wissenstechnologien für Sozialwissenschaften (Köln),GESIS - Leibniz-Institut für Sozialwissenschaften Abt. Wissenstechnologien für Sozialwissenschaften (Köln),69255
"Mutschke, Peter",xing,Wissenschaftlicher Mitarbeiter,n,1990/10-2010/02,"GESIS Leibniz-Institut fur Sozialwissenschaften in Koln: Koln, Nordrhein-Westfalen, Germany",,,69256
"Mutschke, Peter",linkedin,Deputy Head of Department,n,2009/11-2010/02,"GESIS Leibniz-Institut fur Sozialwissenschaften in Koln: Koln, Nordrhein-Westfalen, Germany",,,69256
"Nonnenmacher, Alexandra",Universität Siegen,Univ. Prof.,"Arbeitsschwerpunkte: Sozialwissenschaftliche Methoden und Methodologie, Stadtsoziologie ",n,Universität Siegen,Fakultät II Bildung-Architektur-Künste;  Lehrstuhl für Methoden der empirischen Bildungs- und Sozialforschung,"Fak. 02 Bildung, Architektur, Künste
Universität Siegen (Siegen)",70656
"Petras, Vivien",Berkely Student Homepage,Studium ,Magister,1995 - 2001,Humboldt-Universität Berlin,n,Humboldt-Universität Berlin (Berlin),12708
"Petras, Vivien",Berkely Student Homepage,Studium ,Vordiplom,1999-2001,Humboldt-Universität Berlin,n,Humboldt-Universität Berlin (Berlin),12708
"Petras, Vivien",linkedin,Assitant Professor,,2009/04-2010/9,Humboldt-Universität Berlin,Institut für Bibliotheks- und Informationswissenschaft,Institut für Bibliotheks- und Informationswissenschaft (Berlin),16367
"Petras, Vivien",linkedin,Professorin für Information Retrieval Institut für Bibliotheks- und Informationswissenschaft,,2012/10 - ,Humboldt-Universität Berlin,Institut für Bibliotheks- und Informationswissenschaft,Institut für Bibliotheks- und Informationswissenschaft (Berlin),16367
