Bisch,Quelle_Inst,function,activity,Zeitraum,Institution,spezifische Institution,SOFISwiki_Inst/Projekt,SOFISwiki_instID/Projekt-ID
"Davidov, Eldad",Universität Köln,Vice president,European Survey Research Association (ESRA),2013/07-2015/07,European Survey Research Association,n,n,n
"Davidov, Eldad",Universität Köln,President,European Survey Research Association (ESRA),2015/07-2017/07,European Survey Research Association,n,n,n
"Davidov, Eldad",Universität Zürich,Studium,BA in economics,1993-1995,Tel Aviv University,n,Tel Aviv University,3203
"Davidov, Eldad",Universität Zürich,Studium,MA in economics,1994-1996,Tel Aviv University,n,Tel Aviv University,3203
"Davidov, Eldad",Universität Zürich,Teacher and research assistant sociology,n,1997-1999,Tel Aviv University,n,Tel Aviv University,3203
"Davidov, Eldad",Universität Köln,Studium,BA in economics,1993-1995,Tel Aviv University,n,Tel Aviv University,3203
"Davidov, Eldad",Universität Köln,Studium,MA in economics,1994-1996,Tel Aviv University,n,Tel Aviv University,3203
"Davidov, Eldad",Universität Köln,Teacher and research assistant sociology,n,1997-1999,Tel Aviv University,n,Tel Aviv University,3203
"Davidov, Eldad",Universität Köln,Habilitation,Venia legendi for Sociology,2008,Cologne University,n,Universität Köln,3327
"Davidov, Eldad",Universität Köln,Full professorship,Methods of Empirical Social Research,2016-,University of Cologne,n,Universität Köln,3327
"Davidov, Eldad",Universität Zürich,Substitute professorship,n,2007-2008,University of Mannheim,n,Universität Mannheim (Mannheim),3337
"Davidov, Eldad",Universität Köln,Substitute professorship,n,2007-2008,University of Mannheim,n,Universität Mannheim (Mannheim),3337
"Davidov, Eldad",Universität Zürich,Associate professorship,in Sociology,2009-,University of Zurich,Department of Sociology ,Universität Zürich,3354
"Davidov, Eldad",Universität Köln,Associate professorship,in Sociology,2009-,University of Zurich,n,Universität Zürich,3354
"Davidov, Eldad",Universität Zürich,Full professorship,Methods of Empirical Social Research,2016-,University of Cologne,Institute of Sociology and Social Psychology,Universitäts- und Stadtbibliothek Köln – USB,727529
"Davidov, Eldad",Universität Zürich,Research assistant  ,n,2006-2008,University of Cologne,GESIS-Central Archive for Empirical Social Research,University of Cologne,3327
"Davidov, Eldad",Universität Zürich,Habilitation,Venia legendi for Sociology,2008,Cologne University,n,University of Cologne,3327
"Davidov, Eldad",Universität Zürich,Substitute professorship,n,2008-2009,University of Cologne,Sociology,University of Cologne,3327
"Davidov, Eldad",Universität Köln,Research assistant  ,n,2006-2008,University of Cologne,GESIS-Central Archive for Empirical Social Research,University of Cologne,3327
"Davidov, Eldad",Universität Köln,Substitute professorship,n,2008-2009,University of Cologne,Institute of Sociology and Social Psychology,University of Cologne,3327
"Depping, Ralf",https://www.ub.uni-koeln.de/bibliothek/kontakt/personal/depping/index_ger.html, Referendariat für den höheren Bibliotheksdienst,n,1990-1992,FH Köln,n,Fachhochschule Köln (Köln),1075
